Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
P0A386	reviewed	Photosystem II extrinsic protein V (PsbV) (Cytochrome c-549) (Cytochrome c-550) (Cytochrome c550) (Low-potential cytochrome c)	psbV tll1285	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	163	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthesis, light reaction [GO:0019684]; respiratory electron transport chain [GO:0022904]	photosynthesis, light reaction [GO:0019684]; respiratory electron transport chain [GO:0022904]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	GO:0005506; GO:0009055; GO:0009523; GO:0019684; GO:0020037; GO:0022904; GO:0031676
P0A3C9	reviewed	Ferredoxin-1 (Ferredoxin I)	petF1 petF tsl1009	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	98	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; electron transport chain [GO:0022900]	electron transport chain [GO:0022900]		2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	GO:0009055; GO:0022900; GO:0046872; GO:0051537
P0A407	reviewed	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB tlr0732	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	741	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; oxidoreductase activity [GO:0016491]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]	4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; oxidoreductase activity [GO:0016491]	GO:0000287; GO:0009055; GO:0009522; GO:0015979; GO:0016168; GO:0016491; GO:0031676; GO:0051539
P0A444	reviewed	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)	psbA1 psbA-1 tlr1843	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	360	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016168; GO:0016682; GO:0031676; GO:0045156
P0A446	reviewed	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-2 tlr1844	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	360	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016168; GO:0016682; GO:0031676; GO:0045156
P59087	reviewed	Photosystem II reaction center protein J (PSII-J)	psbJ tsr1544	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	40	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]		GO:0009539; GO:0015979; GO:0031676
Q79V60	reviewed	Circadian clock oscillator protein KaiC (EC 2.7.11.1) (EC 3.6.4.-)	kaiC tlr0483	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	518	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; circadian rhythm [GO:0007623]; protein autophosphorylation [GO:0046777]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]	circadian rhythm [GO:0007623]; protein autophosphorylation [GO:0046777]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]	GO:0000287; GO:0003677; GO:0004674; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0016301; GO:0016887; GO:0042752; GO:0042802; GO:0046777; GO:0106310
Q79V61	reviewed	Circadian clock oscillator protein KaiB	kaiB tlr0482	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	108	circadian rhythm [GO:0007623]	circadian rhythm [GO:0007623]			GO:0007623
Q79V62	reviewed	Circadian clock oscillator protein KaiA	kaiA tlr0481	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	283	identical protein binding [GO:0042802]; circadian rhythm [GO:0007623]	circadian rhythm [GO:0007623]		identical protein binding [GO:0042802]	GO:0007623; GO:0042802
Q8CM25	reviewed	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem II Q(A) protein)	psbD1 tlr0455; psbD2 tlr1630	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	352	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]	photosynthetic electron transport in photosystem II [GO:0009772]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxygen evolving activity [GO:0010242]	GO:0005506; GO:0009523; GO:0009772; GO:0010242; GO:0016168; GO:0031676; GO:0045156
